Source File Name = 

Memory Chunck Size = 2048

1,2048.00,0,0
2,1024.00,0,0
3,682.67,0,0
4,512.00,0,0
5,409.60,0,0
6,341.33,0,0
7,292.57,0,0
8,256.00,0,0
9,227.56,0,0
10,204.80,0,0
11,186.18,0,0
12,170.67,0,0
13,157.54,0,0
14,146.29,0,0
15,136.53,0,0
16,128.00,0,0
17,120.47,0,0
18,113.78,0,0
19,107.79,0,0
20,102.40,0,0
21,97.52,0,0
22,93.09,0,0
23,89.04,24,24
24,85.33,0,0
25,81.92,0,0
26,78.77,0,0
27,75.85,0,0
28,73.14,0,0
29,70.62,0,0
30,68.27,1,1
31,66.06,0,0
32,64.00,0,0
33,62.06,0,0
34,60.24,0,0
35,58.51,0,0
36,56.89,0,0
37,55.35,0,0
38,53.89,0,0
39,52.51,0,0
40,51.20,0,0
41,49.95,0,0
42,48.76,0,0
43,47.63,0,0
44,46.55,0,0
45,45.51,0,0
46,44.52,0,0
47,43.57,0,0
48,42.67,0,0
49,41.80,0,0
50,40.96,0,0
51,40.16,0,0
52,39.38,0,0
53,38.64,0,0
54,37.93,0,0
55,37.24,0,0
56,36.57,0,0
57,35.93,0,0
58,35.31,0,0
59,34.71,0,0
60,34.13,0,0
61,33.57,0,0
62,33.03,0,0
63,32.51,0,0
64,32.00,0,0
65,31.51,0,0
66,31.03,0,0
67,30.57,0,0
68,30.12,0,0
69,29.68,0,0
70,29.26,0,0
71,28.85,0,0
72,28.44,0,0
73,28.05,0,0
74,27.68,0,0
75,27.31,0,0
76,26.95,0,0
77,26.60,0,0
78,26.26,0,0
79,25.92,0,0
80,25.60,0,0
81,25.28,0,0
82,24.98,0,0
83,24.67,0,0
84,24.38,0,0
85,24.09,0,0
86,23.81,0,0
87,23.54,0,0
88,23.27,0,0
89,23.01,0,0
90,22.76,0,0
91,22.51,0,0
92,22.26,0,0
93,22.02,0,0
94,21.79,0,0
95,21.56,0,0
96,21.33,0,0
97,21.11,0,0
98,20.90,0,0
99,20.69,0,0
100,20.48,0,0
101,20.28,0,0
102,20.08,0,0
103,19.88,0,0
104,19.69,0,0
105,19.50,0,0
106,19.32,0,0
107,19.14,0,0
108,18.96,0,0
109,18.79,0,0
110,18.62,0,0
111,18.45,0,0
112,18.29,0,0
113,18.12,1,1
114,17.96,0,0
115,17.81,0,0
116,17.66,1,1
117,17.50,1,1
118,17.36,0,0
119,17.21,0,0
120,17.07,0,0
121,16.93,2,2
122,16.79,0,0
123,16.65,0,0
124,16.52,0,0
125,16.38,0,0
126,16.25,0,0
127,16.13,0,0
128,16.00,1,1
129,15.88,0,0
130,15.75,0,0
131,15.63,0,0
132,15.52,0,0
133,15.40,0,0
134,15.28,0,0
135,15.17,0,0
136,15.06,1,1
137,14.95,0,1
138,14.84,0,0
139,14.73,1,1
140,14.63,0,1
141,14.52,1,1
142,14.42,2,3
143,14.32,0,0
144,14.22,1,1
145,14.12,0,0
146,14.03,2,2
147,13.93,1,1
148,13.84,1,0
149,13.74,1,1
150,13.65,0,0
151,13.56,1,1
152,13.47,2,2
153,13.39,1,0
154,13.30,1,0
155,13.21,3,3
156,13.13,1,1
157,13.04,1,1
158,12.96,3,3
159,12.88,1,1
160,12.80,2,2
161,12.72,0,0
162,12.64,1,1
163,12.56,4,4
164,12.49,0,0
165,12.41,2,2
166,12.34,0,0
167,12.26,0,0
168,12.19,2,2
169,12.12,6,6
170,12.05,4,4
171,11.98,1,1
172,11.91,3,4
173,11.84,5,5
174,11.77,4,4
175,11.70,1,1
176,11.64,1,0
177,11.57,3,3
178,11.51,3,3
179,11.44,1,1
180,11.38,1,1
181,11.31,4,4
182,11.25,1,1
183,11.19,4,5
184,11.13,1,2
185,11.07,5,4
186,11.01,3,2
187,10.95,4,6
188,10.89,5,5
189,10.84,3,7
190,10.78,6,7
191,10.72,4,6
192,10.67,3,13
193,10.61,6,8
194,10.56,4,10
195,10.50,5,10
196,10.45,9,6
197,10.40,10,10
198,10.34,5,10
199,10.29,3,3
200,10.24,3,7
201,10.19,6,4
202,10.14,7,9
203,10.09,5,9
